OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,Workers,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
"47825","060379012053","060379012053","06","037","901205","3","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",329.9066694,0,329.9066694,329.9066694,"2372","1154","1154","786",0.161567105167612,0.358060095462768,51.7537885216212,-99999,6,2,10,1,5,6110.3587962719,1335112.10283435
"47826","060371374021","060371374021","06","037","137402","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",385.4211438,0,385.4211438,377.22792,"2319","1018","914","900",0.395355185472631,0.4568010589864,122.923406673778,442.57,9,5,16,16,13,9127.56087652233,1559779.15665671
"47827","060371374022","060371374022","06","037","137402","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",220.4569367,0,220.4569367,220.4569367,"1498","638","627","507",0.822799565508749,0.810092606092931,113.262936398227,612.89,19,19,15,15,16.3333333333333,4364.92951027061,892177.58799124
"47828","060371375011","060371375011","06","037","137501","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",480.2344022,0,480.2344022,459.90803,"3589","1600","1444","1512",0.874163384319976,0.851807755044926,84.4360999841756,1079.6,20,20,13,13,15.3333333333333,5870.04344329422,1943481.94197947
"47829","060371375012","060371375012","06","037","137501","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",141.0772972,0,141.0772972,141.0772972,"927","461","461","396",0.806264214243738,0.910365550189651,214.799692093903,569.98,20,19,19,15,17.8333333333333,3751.6055984111,570931.077050488
"47837","060379102011","060379102011","06","037","910201","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",2579.7689722,1.1033015,2578.6656707,2578.6656707,"2311","999","999","1005",0.707164839801166,0.865135858369956,13.8217219878391,-99999,20,16,6,1,8.33333333333333,14118.7643438925,10440181.6919622
"47838","060379102012","060379102012","06","037","910201","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",1019.4066022,0,1019.4066022,995.29463,"1685","424","398","540",0.726216740819866,0.876155601938091,61.1285819274832,936.1,20,16,11,13,14,8366.32705156939,4125480.35895218
"47839","060379102021","060379102021","06","037","910202","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",2860.0802006,0,2860.0802006,2860.0802006,"4561","1250","1210","1795",0.54488022848356,0.439543074462616,16.6381907717193,-99999,8,10,6,1,5.33333333333333,16242.1975118389,11574580.9260379
"47840","060379102022","060379102022","06","037","910202","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",2169.2091099,0,2169.2091099,2169.2091099,"1364","462","377","724",0.779363869283253,0.854947804500107,12.1960026256849,-99999,20,18,5,1,8.33333333333333,13061.9154078692,8778671.07970664
"47841","060371343023","060371343023","06","037","134302","3","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",119.7745591,1.7899924,117.9845667,117.9845667,"1398","463","449","690",0.621461136554336,0.383603979901213,110.338499043706,160.93,7,12,15,19,14.5,3901.09096947416,484720.011946961
